ID	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells
ABCB4	22.7138212901797	2.23179950051687	1.97155445562159	0.105994738308192	0	0.236595831817282	0.0419535587353655	0.107002104922173	0.046410247442641	2.14790312131434
ADAM28	138.122317697073	44.549173431875	4.86154374716257	6.15419538796811	6.92361545168478	16.0381494634342	0.0848609886518498	0.0793306796491496	0.662666725813814	18.9158947025691
ADAM6	311.524313608549	0.185500319951345	0.387193475322115	0.0309434181627899	0.0313699237303561	0.501235722794415	0.480615237724707	0.390699771827651	0.31171570243624	0.0777842223142737
AFF3	74.3798680534155	1.41947594130957	1.79918141862698	2.90259697885655	1.79219821564678	5.31305820583621	3.33874242925966	1.6719953555597	3.41073423545352	9.31677002188692
AKAP2	90.5380895821784	17.5227274563533	3.32632182691764	0.221090667019584	0	6.84541044568527	5.8905594487714	1.27121634621691	18.3633991365087	3.30470201093971
ARHGAP24	48.923113469842	10.4272519545846	2.52236669354933	17.6398417143727	3.12847520545414	0.052504487033627	0.0106536459980673	0	0.21506860740811	2.34976503501111
BANK1	301.24413442937	4.00037342190056	7.12162949184432	2.43007530175162	0.0467090734061819	1.14720902003051	0.0516732285128874	0.158108993406954	0.0695917288799809	4.13538374563377
BCL11A	162.35746258436	2.02454979826139	9.5209120731403	21.7927458929775	1.74970688550885	0.328324746898523	0.333422102683569	0.306429474503156	0.129487166590795	24.9057862373835
BLK	529.702738900353	0.804533642108712	0.725478229136685	0.162953576261731	0.112842610698866	0.47681495061319	4.05228336851975	11.5055832638425	2.2158512177743	0.14076820970915
BLNK	174.401225832058	2.41629459859149	61.5054350055487	1.56419570294049	0.0488792691033357	0.219543810156093	0.0399140810419461	0.0521078343443318	0.156831295275187	8.43105468656622
CD19	439.268676213828	0.940667995897954	0.960748363506361	0.339789686883238	0.105206787085179	0.356327937281533	0.147968621036337	0.316340059188139	2.15657773549019	0.935245313853704
CD200	55.2294664656558	0	1.41548056084562	0	0.662093077794551	0.0265141363076311	2.5800289522695	0.364691141932533	5.94285046438378	0.139223231944823
CD72	258.499972469939	12.484112301443	4.9256997230085	3.4455066344001	0.150684735222654	40.681296144629	2.59695641001026	8.46289537578809	8.37780190378287	10.1659239858184
EBF1	33.9402843306255	0.0419617982650429	0.107810010150852	0.0258455531259009	0.0263452108172489	0.0586209590159303	0.0841256435057548	0.0951730200086187	0.225008749503655	0.0168898918049345
FCMR	560.208427058502	4.33144930960849	1.48636123601938	0.38458372366092	11.0654267178681	160.801362342138	238.51602985363	169.884610521352	128.791016287648	4.06619509200073
FCRLA	240.512072319375	1.50019097388064	0.619542712060854	0.040850234118554	0	0.145821049600758	0.0330421596518271	0.154749177923768	0.237167032398714	0.0509821884970258
GNG7	120.485122831339	3.36311354485396	5.80324654779615	4.72007086693286	13.7628682574527	4.05066447900761	5.73081622358209	5.58142045635171	5.09828868961245	6.44941623857556
HLA-DOB	372.459806363368	7.07984181889178	3.25821368357222	9.5537257936507	15.7027822745319	18.9059199453473	16.3292481258742	14.8100847714772	20.3761854717362	17.3427969033096
KLHL14	37.7430063578197	0	0	0	0	0	0	0	0.0373555099619273	0
MEF2C	116.323311328885	5.89045977701664	11.1354921599087	31.5715802571576	7.85772776063656	3.14509288710368	0.0362806292160466	0.105976242400573	0.0982320517287213	42.7915023477713
P2RX5	635.399774973654	1.81920580725339	1.53569999555268	5.36565883803721	4.20649120944489	16.9231228737529	18.2779100466741	23.8854380497373	11.0092609428011	6.76903865761506
PCDH9	25.1154006032258	0.0471608297055587	0.0346111724453279	0.0135109763504724	0	0.748563297188226	0.0459008116068998	0.0814295234155041	0.0639128133460101	0.0426040936238881
PNOC	102.303071324944	0.481037399096269	0.221787282606074	3.674790248062	0	0	0.0472334678353536	0	0.309263402405445	2.13706065184964
POU2AF1	210.360922846279	1.07402574055616	1.02531762861916	1.25038125930661	1.42186066661587	2.4242039029227	2.68037765769087	1.70554137844238	5.66826032962433	1.99938078060004
RALGPS2	243.443027497961	5.06750774949951	14.4045255072051	4.23115886707842	11.6209486813389	8.21666028939979	5.83071669868946	5.17362767746268	3.68656104472208	5.52994894514008
